cell_id,group,dataset,method,seed,variant,status,run_id,attempt_n,elapsed_s
dev/core50_nc/host_capability/host_capability/0,host_capability,core50_nc,host_capability,0,host_capability,unavailable,,1,
dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_batch,core50_nc,eval_core50_nc_b128,0,eval_batch,completed,effectiveness_v3_20260918T034951Z_79924874,1,
dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_batch,core50_nc,eval_core50_nc_b32,0,eval_batch,completed,effectiveness_v3_20260918T035026Z_9d0bd278,1,
dev/core50_nc/eval_batch/eval_core50_nc_b8/0,eval_batch,core50_nc,eval_core50_nc_b8,0,eval_batch,completed,effectiveness_v3_20260918T035102Z_024561a7,1,
dev/splitcifar100/eval_batch/eval_splitcifar100_b128/0,eval_batch,splitcifar100,eval_splitcifar100_b128,0,eval_batch,completed,effectiveness_v3_20260918T035221Z_7b303cae,1,
dev/splitcifar100/eval_batch/eval_splitcifar100_b32/0,eval_batch,splitcifar100,eval_splitcifar100_b32,0,eval_batch,completed,effectiveness_v3_20260918T035236Z_4f0930ef,1,
dev/splitcifar100/eval_batch/eval_splitcifar100_b8/0,eval_batch,splitcifar100,eval_splitcifar100_b8,0,eval_batch,completed,effectiveness_v3_20260918T035250Z_e0948625,1,
dev/core50_nc/s0_profile/s0_core50_nc_rep0/0,s0_profile,core50_nc,s0_core50_nc_rep0,0,s0_profile,completed,effectiveness_v3_20260918T040734Z_93bd9bba,1,
dev/core50_nc/s0_profile/s0_core50_nc_rep1/0,s0_profile,core50_nc,s0_core50_nc_rep1,0,s0_profile,completed,effectiveness_v3_20260918T041110Z_7da6f0cf,1,
dev/core50_nc/plugin_cost/cost_core50_nc_b64/0,plugin_cost,core50_nc,cost_core50_nc_b64,0,plugin_cost,completed,effectiveness_v3_20260918T041442Z_64049f11,1,
dev/core50_nc/plugin_cost/cost_core50_nc_b256/0,plugin_cost,core50_nc,cost_core50_nc_b256,0,plugin_cost,completed,effectiveness_v3_20260918T041653Z_27f9e4f1,1,
dev/core50_nc/plugin_cost/cost_core50_nc_gem/0,plugin_cost,core50_nc,cost_core50_nc_gem,0,plugin_cost,completed,effectiveness_v3_20260918T041849Z_142c7d28,1,
