run_id,cell_id,method,dataset,seed,phase,experience_index,start_monotonic_s,end_monotonic_s,duration_s,allocated_current_bytes,allocated_peak_bytes,reserved_current_bytes,reserved_peak_bytes,quota_bytes,external_reservation_bytes,proc_rss_bytes,children_rss_bytes,proc_pss_bytes,swap_used_bytes,sampled_rss_peak_bytes,sampled_children_rss_peak_bytes,sample_interval_s,sample_count,missing_reason,notes
effectiveness_v3_20260918T034951Z_79924874,dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_core50_nc_b128,core50_nc,0,setup,,146301.883245664,146302.263462809,0.3802171449933667,1395712,1395712,2097152,2097152,1073741824,0,1348169728,0,1128103936,0,1318424576,0,0.1,1,,
effectiveness_v3_20260918T034951Z_79924874,dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_core50_nc_b128,core50_nc,0,resource_transition,0,146302.288065541,146302.288506753,0.00044121197424829006,1395712,1395712,2097152,2097152,1073741824,0,1348280320,0,1128112128,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T034951Z_79924874,dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_core50_nc_b128,core50_nc,0,training,0,146302.308315327,146328.041828693,25.73351336599444,70712320,95452672,117440512,117440512,1073741824,0,2038214656,0,1818042368,0,2036281344,0,0.1,161,,
effectiveness_v3_20260918T034951Z_79924874,dev/core50_nc/eval_batch/eval_core50_nc_b128/0,eval_core50_nc_b128,core50_nc,0,evaluation,0,146328.105102747,146330.030580153,1.9254774059809279,70712320,114230272,159383552,159383552,1073741824,0,2083880960,0,1863716864,0,2090536960,0,0.1,12,,
effectiveness_v3_20260918T035026Z_9d0bd278,dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_core50_nc_b32,core50_nc,0,setup,,146337.172078571,146337.551590045,0.3795114740205463,1395712,1395712,2097152,2097152,1073741824,0,1350234112,0,1130160128,0,1323380736,0,0.1,1,,
effectiveness_v3_20260918T035026Z_9d0bd278,dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_core50_nc_b32,core50_nc,0,resource_transition,0,146337.575372342,146337.575750416,0.00037807400804013014,1395712,1395712,2097152,2097152,1073741824,0,1350336512,0,1130168320,0,0,0,0.1,0,no_interval_samples,
effectiveness_v3_20260918T035026Z_9d0bd278,dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_core50_nc_b32,core50_nc,0,training,0,146337.594012148,146363.790132329,26.196120181004517,70712320,95452672,117440512,117440512,1073741824,0,2039943168,0,1819770880,0,2038083584,0,0.1,163,,
effectiveness_v3_20260918T035026Z_9d0bd278,dev/core50_nc/eval_batch/eval_core50_nc_b32/0,eval_core50_nc_b32,core50_nc,0,evaluation,0,146363.858728782,146365.789486498,1.9307577159779612,70712320,81592320,117440512,117440512,1073741824,0,2085609472,0,1865457664,0,2086600704,0,0.1,11,,
effectiveness_v3_20260918T035102Z_024561a7,dev/core50_nc/eval_batch/eval_core50_nc_b8/0,eval_core50_nc_b8,core50_nc,0,setup,,146372.96719779,146373.343013275,0.37581548499292694,1395712,1395712,2097152,2097152,1073741824,0,1348276224,0,1128214528,0,1318547456,0,0.1,1,,
effectiveness_v3_20260918T035102Z_024561a7,dev/core50_nc/eval_batch/eval_core50_nc_b8/0,eval_core50_nc_b8,core50_nc,0,resource_transition,0,146373.370293163,146373.370701617,0.00040845401235856116,1395712,1395712,2097152,2097152,1073741824,0,1348390912,0,1128222720,0,0,0,0.1,0,no_interval_samples,
