probe_id,role,dataset,status,run_id,online_total_s,new_batch,replay_capacity,quota_mib
search_tight_core50_nc_b16_r200_q160,static_search_tight,core50_nc,completed,effectiveness_v3_20260918T061925Z_1158848e,205.611841475009,16,200,160
search_tight_core50_nc_b16_r2000_q160,static_search_tight,core50_nc,completed,effectiveness_v3_20260918T062258Z_fb2a4c31,198.55671203800011,16,2000,160
search_tight_core50_nc_b64_r200_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T062624Z_021adce6,,64,200,160
search_tight_core50_nc_b64_r2000_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T062632Z_f14a7bae,,64,2000,160
search_tight_core50_nc_b256_r200_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T062640Z_1ae47bce,,256,200,160
search_tight_core50_nc_b256_r2000_q160,static_search_tight,core50_nc,cuda_oom,effectiveness_v3_20260918T062648Z_a187fa33,,256,2000,160
search_loose_core50_nc_b16_r200_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T062705Z_ce1e6152,203.05385202300386,16,200,320
search_loose_core50_nc_b16_r2000_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T063035Z_a97c2d26,206.68990120501257,16,2000,320
search_loose_core50_nc_b64_r200_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T063410Z_35400e3d,121.0121160960116,64,200,320
search_loose_core50_nc_b64_r2000_q320,static_search_loose,core50_nc,completed,effectiveness_v3_20260918T063618Z_0d2342fd,126.96978740600753,64,2000,320
search_loose_core50_nc_b256_r200_q320,static_search_loose,core50_nc,cuda_oom,effectiveness_v3_20260918T063833Z_0e8cd303,,256,200,320
search_loose_core50_nc_b256_r2000_q320,static_search_loose,core50_nc,cuda_oom,effectiveness_v3_20260918T063841Z_ee57fce9,,256,2000,320
search_tight_splitcifar100_b16_r200_q160,static_search_tight,splitcifar100,completed,effectiveness_v3_20260918T064943Z_874b24ea,77.37379344599321,16,200,160
search_tight_splitcifar100_b16_r2000_q160,static_search_tight,splitcifar100,completed,effectiveness_v3_20260918T065109Z_f4622985,75.43333389100735,16,2000,160
search_tight_splitcifar100_b64_r200_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T065233Z_9139655f,,64,200,160
search_tight_splitcifar100_b64_r2000_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T065241Z_e0d38c65,,64,2000,160
search_tight_splitcifar100_b256_r200_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T065250Z_18890833,,256,200,160
search_tight_splitcifar100_b256_r2000_q160,static_search_tight,splitcifar100,cuda_oom,effectiveness_v3_20260918T065258Z_826cd4bf,,256,2000,160
search_loose_splitcifar100_b16_r200_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T065316Z_09e88ab3,75.16705530602485,16,200,320
search_loose_splitcifar100_b16_r2000_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T065440Z_b6aee39a,74.03689345397288,16,2000,320
search_loose_splitcifar100_b64_r200_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T065602Z_2e52079b,36.38811557498411,64,200,320
search_loose_splitcifar100_b64_r2000_q320,static_search_loose,splitcifar100,completed,effectiveness_v3_20260918T065647Z_f82fb9c8,35.67432290801662,64,2000,320
search_loose_splitcifar100_b256_r200_q320,static_search_loose,splitcifar100,cuda_oom,effectiveness_v3_20260918T065731Z_14d83092,,256,200,320
search_loose_splitcifar100_b256_r2000_q320,static_search_loose,splitcifar100,cuda_oom,effectiveness_v3_20260918T065739Z_9ec93436,,256,2000,320
