cell_id,group,dataset,method,seed,variant,status,run_id,n_attempts,attempt_run_ids
A/core50_nc/tight/S0/0/default,A,core50_nc,S0,0,default,completed,effectiveness_v3_20260918T124042Z_48203b04,1,effectiveness_v3_20260918T124042Z_48203b04
A/core50_nc/tight/S_star/0/default,A,core50_nc,S_star,0,default,completed,effectiveness_v3_20260918T124542Z_e661f745,1,effectiveness_v3_20260918T124542Z_e661f745
A/core50_nc/tight/O00/0/default,A,core50_nc,O00,0,default,cuda_oom,effectiveness_v3_20260918T125033Z_0169998d,1,effectiveness_v3_20260918T125033Z_0169998d
A/core50_nc/tight/O10/0/default,A,core50_nc,O10,0,default,cuda_oom,effectiveness_v3_20260918T125201Z_602c23ec,1,effectiveness_v3_20260918T125201Z_602c23ec
A/core50_nc/tight/O01/0/default,A,core50_nc,O01,0,default,cuda_oom,effectiveness_v3_20260918T125327Z_307ffa7d,1,effectiveness_v3_20260918T125327Z_307ffa7d
A/core50_nc/tight/O11/0/default,A,core50_nc,O11,0,default,cuda_oom,effectiveness_v3_20260918T125453Z_e468c444,1,effectiveness_v3_20260918T125453Z_e468c444
A/core50_nc/tight/R11/0/default,A,core50_nc,R11,0,default,completed,effectiveness_v3_20260918T125622Z_5cc2c4e7,1,effectiveness_v3_20260918T125622Z_5cc2c4e7
A/core50_nc/tight/F11/0/default,A,core50_nc,F11,0,default,cuda_oom,effectiveness_v3_20260918T130106Z_37d309d9,1,effectiveness_v3_20260918T130106Z_37d309d9
A/core50_nc/tight/S_star/1/default,A,core50_nc,S_star,1,default,completed,effectiveness_v3_20260918T130221Z_60c895a2,1,effectiveness_v3_20260918T130221Z_60c895a2
A/core50_nc/tight/O00/1/default,A,core50_nc,O00,1,default,cuda_oom,effectiveness_v3_20260918T130717Z_c1ab5a21,1,effectiveness_v3_20260918T130717Z_c1ab5a21
A/core50_nc/tight/O10/1/default,A,core50_nc,O10,1,default,cuda_oom,effectiveness_v3_20260918T130845Z_09b114c7,1,effectiveness_v3_20260918T130845Z_09b114c7
A/core50_nc/tight/O01/1/default,A,core50_nc,O01,1,default,cuda_oom,effectiveness_v3_20260918T131014Z_b09fde4a,1,effectiveness_v3_20260918T131014Z_b09fde4a
A/core50_nc/tight/O11/1/default,A,core50_nc,O11,1,default,cuda_oom,effectiveness_v3_20260918T131141Z_97cbc12a,1,effectiveness_v3_20260918T131141Z_97cbc12a
A/core50_nc/tight/R11/1/default,A,core50_nc,R11,1,default,completed,effectiveness_v3_20260918T131308Z_e7f97314,1,effectiveness_v3_20260918T131308Z_e7f97314
A/core50_nc/tight/F11/1/default,A,core50_nc,F11,1,default,cuda_oom,effectiveness_v3_20260918T131757Z_e471a404,1,effectiveness_v3_20260918T131757Z_e471a404
A/core50_nc/tight/S0/1/default,A,core50_nc,S0,1,default,completed,effectiveness_v3_20260918T131917Z_45192821,1,effectiveness_v3_20260918T131917Z_45192821
A/core50_nc/tight/O00/2/default,A,core50_nc,O00,2,default,cuda_oom,effectiveness_v3_20260918T132403Z_30b2b6d9,1,effectiveness_v3_20260918T132403Z_30b2b6d9
A/core50_nc/tight/O10/2/default,A,core50_nc,O10,2,default,cuda_oom,effectiveness_v3_20260918T132532Z_ffb79b97,1,effectiveness_v3_20260918T132532Z_ffb79b97
A/core50_nc/tight/O01/2/default,A,core50_nc,O01,2,default,cuda_oom,effectiveness_v3_20260918T132658Z_2cba89e4,1,effectiveness_v3_20260918T132658Z_2cba89e4
A/core50_nc/tight/O11/2/default,A,core50_nc,O11,2,default,cuda_oom,effectiveness_v3_20260918T132826Z_dafb140a,1,effectiveness_v3_20260918T132826Z_dafb140a
A/core50_nc/tight/R11/2/default,A,core50_nc,R11,2,default,completed,effectiveness_v3_20260918T132954Z_7351c595,1,effectiveness_v3_20260918T132954Z_7351c595
A/core50_nc/tight/F11/2/default,A,core50_nc,F11,2,default,cuda_oom,effectiveness_v3_20260918T133452Z_f09920d9,1,effectiveness_v3_20260918T133452Z_f09920d9
A/core50_nc/tight/S0/2/default,A,core50_nc,S0,2,default,completed,effectiveness_v3_20260918T133610Z_461128c7,1,effectiveness_v3_20260918T133610Z_461128c7
A/core50_nc/tight/S_star/2/default,A,core50_nc,S_star,2,default,completed,effectiveness_v3_20260918T134105Z_8816285b,1,effectiveness_v3_20260918T134105Z_8816285b
A/splitcifar100/tight/S0/0/default,A,splitcifar100,S0,0,default,completed,effectiveness_v3_20260918T134607Z_d44ef855,1,effectiveness_v3_20260918T134607Z_d44ef855
A/splitcifar100/tight/S_star/0/default,A,splitcifar100,S_star,0,default,completed,effectiveness_v3_20260918T134746Z_6c651fb4,1,effectiveness_v3_20260918T134746Z_6c651fb4
A/splitcifar100/tight/O00/0/default,A,splitcifar100,O00,0,default,completed,effectiveness_v3_20260918T134924Z_a57461cc,1,effectiveness_v3_20260918T134924Z_a57461cc
A/splitcifar100/tight/O10/0/default,A,splitcifar100,O10,0,default,cuda_oom,effectiveness_v3_20260918T135107Z_986b52f6,1,effectiveness_v3_20260918T135107Z_986b52f6
A/splitcifar100/tight/O01/0/default,A,splitcifar100,O01,0,default,completed,effectiveness_v3_20260918T135137Z_c1fc1ed7,1,effectiveness_v3_20260918T135137Z_c1fc1ed7
A/splitcifar100/tight/O11/0/default,A,splitcifar100,O11,0,default,cuda_oom,effectiveness_v3_20260918T135320Z_a44d2b26,1,effectiveness_v3_20260918T135320Z_a44d2b26
A/splitcifar100/tight/R11/0/default,A,splitcifar100,R11,0,default,completed,effectiveness_v3_20260918T135350Z_94fffae9,1,effectiveness_v3_20260918T135350Z_94fffae9
A/splitcifar100/tight/F11/0/default,A,splitcifar100,F11,0,default,cuda_oom,effectiveness_v3_20260918T135529Z_f109dbc3,1,effectiveness_v3_20260918T135529Z_f109dbc3
A/splitcifar100/tight/S_star/1/default,A,splitcifar100,S_star,1,default,completed,effectiveness_v3_20260918T135551Z_aa5dd7bf,1,effectiveness_v3_20260918T135551Z_aa5dd7bf
A/splitcifar100/tight/O00/1/default,A,splitcifar100,O00,1,default,completed,effectiveness_v3_20260918T135730Z_5faec831,1,effectiveness_v3_20260918T135730Z_5faec831
A/splitcifar100/tight/O10/1/default,A,splitcifar100,O10,1,default,cuda_oom,effectiveness_v3_20260918T135911Z_c0a10258,1,effectiveness_v3_20260918T135911Z_c0a10258
A/splitcifar100/tight/O01/1/default,A,splitcifar100,O01,1,default,completed,effectiveness_v3_20260918T135941Z_a26de010,1,effectiveness_v3_20260918T135941Z_a26de010
A/splitcifar100/tight/O11/1/default,A,splitcifar100,O11,1,default,cuda_oom,effectiveness_v3_20260918T140124Z_09059880,1,effectiveness_v3_20260918T140124Z_09059880
A/splitcifar100/tight/R11/1/default,A,splitcifar100,R11,1,default,completed,effectiveness_v3_20260918T140154Z_8551117e,1,effectiveness_v3_20260918T140154Z_8551117e
A/splitcifar100/tight/F11/1/default,A,splitcifar100,F11,1,default,cuda_oom,effectiveness_v3_20260918T140331Z_47023b0d,1,effectiveness_v3_20260918T140331Z_47023b0d
A/splitcifar100/tight/S0/1/default,A,splitcifar100,S0,1,default,completed,effectiveness_v3_20260918T140353Z_21d26ae7,1,effectiveness_v3_20260918T140353Z_21d26ae7
A/splitcifar100/tight/O00/2/default,A,splitcifar100,O00,2,default,completed,effectiveness_v3_20260918T140531Z_c2ff5b17,1,effectiveness_v3_20260918T140531Z_c2ff5b17
A/splitcifar100/tight/O10/2/default,A,splitcifar100,O10,2,default,cuda_oom,effectiveness_v3_20260918T140711Z_a8920eca,1,effectiveness_v3_20260918T140711Z_a8920eca
A/splitcifar100/tight/O01/2/default,A,splitcifar100,O01,2,default,completed,effectiveness_v3_20260918T140741Z_abeddeaf,1,effectiveness_v3_20260918T140741Z_abeddeaf
A/splitcifar100/tight/O11/2/default,A,splitcifar100,O11,2,default,cuda_oom,effectiveness_v3_20260918T140924Z_0b422fc2,1,effectiveness_v3_20260918T140924Z_0b422fc2
A/splitcifar100/tight/R11/2/default,A,splitcifar100,R11,2,default,completed,effectiveness_v3_20260918T140955Z_ccb483a4,1,effectiveness_v3_20260918T140955Z_ccb483a4
A/splitcifar100/tight/F11/2/default,A,splitcifar100,F11,2,default,cuda_oom,effectiveness_v3_20260918T141131Z_aba3f441,1,effectiveness_v3_20260918T141131Z_aba3f441
A/splitcifar100/tight/S0/2/default,A,splitcifar100,S0,2,default,completed,effectiveness_v3_20260918T141153Z_eb488ab7,1,effectiveness_v3_20260918T141153Z_eb488ab7
A/splitcifar100/tight/S_star/2/default,A,splitcifar100,S_star,2,default,completed,effectiveness_v3_20260918T141330Z_a81aaf78,1,effectiveness_v3_20260918T141330Z_a81aaf78
B/core50_nc/loose/S0/0/default,B,core50_nc,S0,0,default,completed,effectiveness_v3_20260918T141508Z_c5bb9561,1,effectiveness_v3_20260918T141508Z_c5bb9561
B/core50_nc/loose/S_star/0/default,B,core50_nc,S_star,0,default,completed,effectiveness_v3_20260918T141959Z_1d7322eb,1,effectiveness_v3_20260918T141959Z_1d7322eb
B/core50_nc/loose/O11/0/default,B,core50_nc,O11,0,default,completed,effectiveness_v3_20260918T142454Z_e358987c,1,effectiveness_v3_20260918T142454Z_e358987c
B/core50_nc/loose/R11/0/default,B,core50_nc,R11,0,default,completed,effectiveness_v3_20260918T144127Z_d92f4f45,1,effectiveness_v3_20260918T144127Z_d92f4f45
B/core50_nc/loose/F11/0/default,B,core50_nc,F11,0,default,completed,effectiveness_v3_20260918T144620Z_be1c54a2,1,effectiveness_v3_20260918T144620Z_be1c54a2
B/core50_nc/loose/S_star/1/default,B,core50_nc,S_star,1,default,completed,effectiveness_v3_20260918T150530Z_e016f976,1,effectiveness_v3_20260918T150530Z_e016f976
B/core50_nc/loose/O11/1/default,B,core50_nc,O11,1,default,completed,effectiveness_v3_20260918T151027Z_6f26f3e9,1,effectiveness_v3_20260918T151027Z_6f26f3e9
