group,dataset,method,variant,n_completed,n_attempts,n_failed,P_mean,P_sd,S_mean,S_sd,online_s_mean,online_s_sd,completed_run_ids
A,core50_nc,F11,default,0,3,3,,,,,,,
A,core50_nc,O00,default,0,3,3,,,,,,,
A,core50_nc,O01,default,0,3,3,,,,,,,
A,core50_nc,O10,default,0,3,3,,,,,,,
A,core50_nc,O11,default,0,3,3,,,,,,,
A,core50_nc,R11,default,3,3,0,0.6042293018862586,0.008291130395814065,0.48141315543630403,0.006007200338089515,281.64116420432885,6.717613023232028,"effectiveness_v3_20260918T125622Z_5cc2c4e7,effectiveness_v3_20260918T131308Z_e7f97314,effectiveness_v3_20260918T132954Z_7351c595"
A,core50_nc,S0,default,3,3,0,0.5999247245569773,0.0031495073928072903,0.4745585824961542,0.015299794799053844,284.47915820466005,7.152089931742119,"effectiveness_v3_20260918T124042Z_48203b04,effectiveness_v3_20260918T131917Z_45192821,effectiveness_v3_20260918T133610Z_461128c7"
A,core50_nc,S_star,default,3,3,0,0.5075685983653279,0.008552398194802382,0.7572953048457207,0.0017145553838383608,287.88860997166677,5.764279761506228,"effectiveness_v3_20260918T124542Z_e661f745,effectiveness_v3_20260918T130221Z_60c895a2,effectiveness_v3_20260918T134105Z_8816285b"
A,splitcifar100,F11,default,0,3,3,,,,,,,
A,splitcifar100,O00,default,3,3,0,0.47176666666666667,0.008863595959503904,0.5443333333333333,0.01550746534677681,92.38495602166707,1.991014628763011,"effectiveness_v3_20260918T134924Z_a57461cc,effectiveness_v3_20260918T135730Z_5faec831,effectiveness_v3_20260918T140531Z_c2ff5b17"
A,splitcifar100,O01,default,3,3,0,0.4648333333333333,0.012802473719298725,0.543074074074074,0.009684105173123382,94.21625428566283,0.15927159669975302,"effectiveness_v3_20260918T135137Z_c1fc1ed7,effectiveness_v3_20260918T135941Z_a26de010,effectiveness_v3_20260918T140741Z_abeddeaf"
A,splitcifar100,O10,default,0,3,3,,,,,,,
A,splitcifar100,O11,default,0,3,3,,,,,,,
A,splitcifar100,R11,default,3,3,0,0.46596666666666664,0.01583487711772123,0.5458888888888889,0.012568822882114942,89.03714426666072,1.4801273593279383,"effectiveness_v3_20260918T135350Z_94fffae9,effectiveness_v3_20260918T140154Z_8551117e,effectiveness_v3_20260918T140955Z_ccb483a4"
A,splitcifar100,S0,default,3,3,0,0.46313333333333334,0.013914141487470019,0.5473333333333333,0.009008226692759642,89.41959391000758,0.7845427856143248,"effectiveness_v3_20260918T134607Z_d44ef855,effectiveness_v3_20260918T140353Z_21d26ae7,effectiveness_v3_20260918T141153Z_eb488ab7"
A,splitcifar100,S_star,default,3,3,0,0.4267666666666667,0.010464384039843563,0.7004814814814814,0.0193971912607621,89.7484645943332,0.7859637396016264,"effectiveness_v3_20260918T134746Z_6c651fb4,effectiveness_v3_20260918T135551Z_aa5dd7bf,effectiveness_v3_20260918T141330Z_a81aaf78"
B,core50_nc,F11,default,3,3,0,0.14526235477441524,0.07957432225280421,0.8490756809688529,0.08952111253440476,1161.0852394343335,22.556402519063933,"effectiveness_v3_20260918T144620Z_be1c54a2,effectiveness_v3_20260918T153047Z_64a88b5a,effectiveness_v3_20260918T161611Z_22479fed"
B,core50_nc,O11,default,3,3,0,0.268226969196204,0.04813387979226079,0.7107404897443406,0.054150614766293376,951.8508032866617,30.999384206586505,"effectiveness_v3_20260918T142454Z_e358987c,effectiveness_v3_20260918T151027Z_6f26f3e9,effectiveness_v3_20260918T155534Z_4df370ae"
B,core50_nc,R11,default,3,3,0,0.605308860989379,0.006129598580685101,0.4826083140607634,0.009642957574407078,277.6342125700127,7.1106108874412906,"effectiveness_v3_20260918T144127Z_d92f4f45,effectiveness_v3_20260918T152559Z_d84362b8,effectiveness_v3_20260918T161132Z_0b332220"
B,core50_nc,S0,default,3,3,0,0.6074146002490367,0.03176329996693819,0.47690692722343514,0.04979407801839821,280.6311312036705,5.094077146448056,"effectiveness_v3_20260918T141508Z_c5bb9561,effectiveness_v3_20260918T155041Z_f5333308,effectiveness_v3_20260918T163536Z_1458e8d5"
B,core50_nc,S_star,default,3,3,0,0.5014869580714549,0.01701351215312741,0.7410179666637309,0.017064399299468784,283.6543612810007,6.082428903224314,"effectiveness_v3_20260918T141959Z_1d7322eb,effectiveness_v3_20260918T150530Z_e016f976,effectiveness_v3_20260918T164020Z_d3a2f0de"
B,splitcifar100,F11,default,3,3,0,0.16133333333333333,0.04276497788299831,0.8318518518518518,0.04751664209222033,429.12914834799204,4.214062197351071,"effectiveness_v3_20260918T165619Z_636a0335,effectiveness_v3_20260918T171321Z_0b9d1439,effectiveness_v3_20260918T173006Z_a240ced0"
B,splitcifar100,O11,default,3,3,0,0.19340000000000002,0.020655991866768347,0.7962222222222223,0.022951102074187033,371.15243823434383,6.711171115037582,"effectiveness_v3_20260918T164819Z_1eaa0e7b,effectiveness_v3_20260918T170519Z_efdcf21c,effectiveness_v3_20260918T172216Z_c03835a6"
B,splitcifar100,R11,default,3,3,0,0.4658666666666667,0.011927419391189945,0.5434444444444445,0.010335125292652023,88.98328815999169,1.2712361584500316,"effectiveness_v3_20260918T165443Z_1c14c05b,effectiveness_v3_20260918T171142Z_552f5e4f,effectiveness_v3_20260918T172828Z_112e26f9"
B,splitcifar100,S0,default,3,3,0,0.4649,0.010473299384625696,0.5512592592592592,0.012351504798278243,89.22625952632127,1.801123343885821,"effectiveness_v3_20260918T164505Z_c55b5565,effectiveness_v3_20260918T172038Z_15039b60,effectiveness_v3_20260918T173720Z_d27c9c53"
B,splitcifar100,S_star,default,3,3,0,0.43399999999999994,0.0055380501984001644,0.6917777777777778,0.005945223209631917,88.90317467432276,1.6843734137935038,"effectiveness_v3_20260918T164641Z_656a2787,effectiveness_v3_20260918T170342Z_a5939b94,effectiveness_v3_20260918T173859Z_b898a972"
D,core50_nc,O11,latency,0,3,3,,,,,,,
D,core50_nc,O11,memory,0,3,3,,,,,,,
D,core50_nc,O11,plasticity_stability,0,3,3,,,,,,,
E,core50_nc,orion_off,default,3,3,0,0.23369215013465086,0.011163625178295338,0.7495921611885878,0.012559078325582255,975.6179192319978,2.199730770172655,"effectiveness_v3_20260918T180420Z_b082c5fa,effectiveness_v3_20260918T184139Z_7fd5ed3e,effectiveness_v3_20260918T191852Z_4739dab6"
E,core50_nc,orion_on,default,3,3,0,0.2612402238188644,0.03518443118838168,0.7186005782938476,0.03958248508692941,921.7656714959982,14.479219925750943,"effectiveness_v3_20260918T182042Z_f77f5488,effectiveness_v3_20260918T185806Z_ae220d7f,effectiveness_v3_20260918T193516Z_4583bff6"
E,core50_nc,static_off,default,3,3,0,0.5999998315998493,0.017301552034108852,0.4717388090398427,0.021472859870362338,315.66318293333944,4.687942037824123,"effectiveness_v3_20260918T175340Z_168b5058,effectiveness_v3_20260918T191333Z_a15e235f,effectiveness_v3_20260918T195035Z_c7ac5492"
E,core50_nc,static_on,default,3,3,0,0.5999998315998493,0.017301552034108852,0.4717388090398427,0.021472859870362338,303.1758304660131,1.7227940779031032,"effectiveness_v3_20260918T175908Z_5a9860d1,effectiveness_v3_20260918T183629Z_4b1778de,effectiveness_v3_20260918T195602Z_f026e1f7"
F,core50_nc,agem_adaptive_ewc,default,3,3,0,0.36906421093033875,0.06264231428599033,0.5972985927934389,0.07047260357173912,825.8743516819959,1.6329177046249936,"effectiveness_v3_20260918T200827Z_d913a753,effectiveness_v3_20260918T202219Z_9d416150,effectiveness_v3_20260918T205037Z_c7fe7b8c"
F,core50_nc,agem_static,default,3,3,0,0.6490193457358213,0.011520355738402236,0.36751064345460843,0.009221176865912272,422.1902887853309,2.5531288217295485,"effectiveness_v3_20260918T200116Z_50105d6d,effectiveness_v3_20260918T203615Z_3b1672b7,effectiveness_v3_20260918T204329Z_8162adb1"
G,core50_nc,O11,alpha_double,0,3,3,,,,,,,
G,core50_nc,O11,beta_double,0,3,3,,,,,,,
G,core50_nc,O11,initial_batch32,0,3,3,,,,,,,
G,core50_nc,O11,initial_replay1000,0,3,3,,,,,,,
G,core50_nc,O11,lr_half,0,3,3,,,,,,,
G,core50_nc,O11,quota_mid,3,3,0,0.21674675245500272,0.06643573678263934,0.768655733578192,0.07474020388046933,962.3532067600075,36.62861471330202,"effectiveness_v3_20260918T213230Z_86788851,effectiveness_v3_20260918T214903Z_6a27b720,effectiveness_v3_20260918T220535Z_5119b35b"
G,core50_nc,O11,thr_double,0,3,3,,,,,,,
G,core50_nc,O11,thr_half,0,3,3,,,,,,,
