group,dataset,seed,quota_bytes,variant,left,right,left_run_id,right_run_id,left_status,right_status,pairing_ok,pairing_error,both_completed,d_P,d_S,d_online_s
A,core50_nc,0,167772160,default,O11,S0,effectiveness_v3_20260918T125453Z_e468c444,effectiveness_v3_20260918T124042Z_48203b04,cuda_oom,completed,True,,False,,,
A,core50_nc,1,167772160,default,O11,S0,effectiveness_v3_20260918T131141Z_97cbc12a,effectiveness_v3_20260918T131917Z_45192821,cuda_oom,completed,True,,False,,,
A,core50_nc,2,167772160,default,O11,S0,effectiveness_v3_20260918T132826Z_dafb140a,effectiveness_v3_20260918T133610Z_461128c7,cuda_oom,completed,True,,False,,,
A,splitcifar100,0,167772160,default,O11,S0,effectiveness_v3_20260918T135320Z_a44d2b26,effectiveness_v3_20260918T134607Z_d44ef855,cuda_oom,completed,True,,False,,,
A,splitcifar100,1,167772160,default,O11,S0,effectiveness_v3_20260918T140124Z_09059880,effectiveness_v3_20260918T140353Z_21d26ae7,cuda_oom,completed,True,,False,,,
A,splitcifar100,2,167772160,default,O11,S0,effectiveness_v3_20260918T140924Z_0b422fc2,effectiveness_v3_20260918T141153Z_eb488ab7,cuda_oom,completed,True,,False,,,
B,core50_nc,0,335544320,default,O11,S0,effectiveness_v3_20260918T142454Z_e358987c,effectiveness_v3_20260918T141508Z_c5bb9561,completed,completed,True,,True,-0.3559453763193132,0.2545502514767153,701.4237089339877
B,core50_nc,1,335544320,default,O11,S0,effectiveness_v3_20260918T151027Z_6f26f3e9,effectiveness_v3_20260918T155041Z_f5333308,completed,completed,True,,True,-0.32137333545897867,0.22944051813974498,638.4189931289875
B,core50_nc,2,335544320,default,O11,S0,effectiveness_v3_20260918T155534Z_4df370ae,effectiveness_v3_20260918T163536Z_1458e8d5,completed,completed,True,,True,-0.3402441813802062,0.21750991794625607,673.8163141859986
B,splitcifar100,0,335544320,default,O11,S0,effectiveness_v3_20260918T164819Z_1eaa0e7b,effectiveness_v3_20260918T164505Z_c55b5565,completed,completed,True,,True,-0.2786999999999999,0.25811111111111107,288.3046434770513
