dataset,algorithm_base,method_id,preference,n,n_planned_note,p_mean,p_std,s_mean,s_std,t_mean,t_std
core50_nc,agem,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.3695435770984582,0.011623103040684873,0.6243468090975679,0.011318600305902576,86.91306928833426,1.4283112011494155
core50_nc,agem,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.6417659400608157,0.011536764065685778,0.37281887298713795,0.010693389990586503,140.87426114566674,0.5276118750788021
core50_nc,er,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.3580232787470369,0.010195579968864107,0.6333627002984724,0.009923819256325534,66.36585987833314,0.17530035367503882
core50_nc,er,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.6043094527373458,0.01481869140610192,0.4636238373663699,0.020662797219308734,112.45965883399974,0.240902658522935
core50_nc,gem,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.41334005503060023,0.020256165556872385,0.6463710151153471,0.032535359344847734,96.27370291600043,3.06907779565298
core50_nc,gem,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.6246416257841767,0.003943447670078574,0.42979366654264023,0.006836056194774563,397.09754077066646,6.00869078091322
core50_nc,gss,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.2304178929050675,0.016469982112724886,0.7672983890003175,0.017481411663389346,74.852213180667,2.6966025957278834
core50_nc,gss,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.300768758835748,0.20657271856595827,0.7499427319757676,0.1779648318627998,277.4317981856669,39.798420782807135
core50_nc,lr,lr_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.5599629480325109,0.03072677976439159,0.5093781548221349,0.02965842891171964,103.17036514699976,0.4293480949868352
core50_ni,er,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.10212650834593376,0.0012027535919367563,1.0111434416335243,0.015109986560731618,86.23914056033345,0.18028026823102625
core50_ni,er,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.16940355480447095,0.0011139834465358218,1.0908904164707776,0.014279934869593142,152.85013466033328,22.528860407831765
core50_ni,lr,lr_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.13472642236650953,0.006507448923535357,1.0472103276959632,0.0016823221342716882,121.89197388633329,0.5175718507165589
core50_nic,er,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.022808566117651828,0.0011310908779138481,1.0054558163826153,0.0009138042057217135,659.8538460403337,1.8502369141355635
core50_nic,er,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.11681004702034946,0.006258295564169645,0.991310262567934,0.015077860059437152,710.0630381199995,4.861867438987315
core50_nic,lr,lr_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.06370471115454493,0.0035739851175124555,1.0000166295305493,0.0028544874852318236,697.8631177536676,2.28030758217376
splitcifar10,er,er_static,,3,n is completed with P; failures live in formal_context_table.csv,0.9701000000000001,0.018898853580751013,0.046555555555555496,0.026660338755376666,25.314223063999787,0.3672923066692128
splitcifar10,er,max_a_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.2586,0.0037656340767525526,0.8237777777777777,0.004184037863058371,3265.5794769283325,127.02674075842098
splitcifar10,er,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.58,0.09108329521194686,0.4685185185185185,0.10205632001702969,11.455967715333372,0.10912362170340745
splitcifar10,er,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.9673333333333334,0.01395046793321128,0.051777777777777735,0.020010696727977628,26.183166702333438,0.13394098939784985
splitcifar10,lr,lr_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.9396,0.02861607939603178,0.10244444444444445,0.03230869622643189,26.049263026666722,0.5455871301812489
splitcifar100,er,max_a_reconstructed,,2,n is completed with P; failures live in formal_context_table.csv,0.032,0.011500000000000002,0.9755555555555555,0.012777777777777777,3125.7251028479986,42.87036702499972
splitcifar100,er,max_p_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.09079999999999999,0.00234236347876811,0.9141111111111111,0.002739739556875075,11.503350315999947,0.02914620883701453
splitcifar100,er,orion_formula,,3,n is completed with P; failures live in formal_context_table.csv,0.47380000000000005,0.008705170877128169,0.5410370370370371,0.012359609424666917,26.913232184999895,0.6955742215681884
splitcifar100,lr,lr_reconstructed,,3,n is completed with P; failures live in formal_context_table.csv,0.42446666666666666,0.0025328946988683976,0.5992592592592592,0.0014468166655277111,25.653954428666566,1.2646266733704001
