run_id,status,dataset,algorithm_base,optional_plugins,method_id,preference,preference_order,experiment_id,protocol_id,n_experiences,p_diag,s_initial,online_total_s,timing_schema,failure
20260914T020345Z_formal_er_static_splitcifar10_49b53567,completed,splitcifar10,er,none,er_static,,[],E02,paper_feedback_diag_initial_v1,10,0.9916,0.01966666666666661,25.829359939999904,online_loop_v2,
20260914T020417Z_formal_er_static_splitcifar10_3feb7772,completed,splitcifar10,er,none,er_static,,[],E02,paper_feedback_diag_initial_v1,10,0.9731,0.037111111111111095,24.998940181999842,online_loop_v2,
20260914T020448Z_formal_er_static_splitcifar10_622747e6,completed,splitcifar10,er,none,er_static,,[],E02,paper_feedback_diag_initial_v1,10,0.9456000000000001,0.08288888888888879,25.11436906999961,online_loop_v2,
20260914T020518Z_formal_orion_formula_splitcifar10_bb8625ac,completed,splitcifar10,er,none,orion_formula,,[],E02,paper_feedback_diag_initial_v1,10,0.9795,0.034222222222222154,26.176515191000362,online_loop_v2,
20260914T020550Z_formal_orion_formula_splitcifar10_b8e01a93,completed,splitcifar10,er,none,orion_formula,,[],E02,paper_feedback_diag_initial_v1,10,0.9747,0.04133333333333333,26.022550087000127,online_loop_v2,
20260914T020621Z_formal_orion_formula_splitcifar10_cfe36dce,completed,splitcifar10,er,none,orion_formula,,[],E02,paper_feedback_diag_initial_v1,10,0.9478,0.07977777777777773,26.350434828999823,online_loop_v2,
20260914T020653Z_formal_max_p_reconstructed_splitcifar10_6064ad95,completed,splitcifar10,er,none,max_p_reconstructed,,[],E03,paper_feedback_diag_initial_v1,10,0.708,0.32477777777777783,11.303021157999865,online_loop_v2,
20260914T020710Z_formal_max_p_reconstructed_splitcifar10_389e5088,completed,splitcifar10,er,none,max_p_reconstructed,,[],E03,paper_feedback_diag_initial_v1,10,0.5285,0.5291111111111111,11.550258406000012,online_loop_v2,
20260914T020727Z_formal_max_p_reconstructed_splitcifar10_40817ded,completed,splitcifar10,er,none,max_p_reconstructed,,[],E03,paper_feedback_diag_initial_v1,10,0.5035000000000001,0.5516666666666666,11.51462358200024,online_loop_v2,
20260914T020745Z_formal_lr_reconstructed_splitcifar10_b48b6703,completed,splitcifar10,lr,none,lr_reconstructed,,[],E03,paper_feedback_diag_initial_v1,10,0.9719999999999999,0.05844444444444441,26.81626400899995,online_loop_v2,
