run_id,dataset,algorithm_base,method_id,seed,n_records,first_applied_batch,last_applied_batch,first_applied_replay,last_applied_replay,n_advanced,n_default,n_urge_gt_thr,max_latency_s,min_urge,max_urge
20260914T020345Z_formal_er_static_splitcifar10_49b53567,splitcifar10,er,er_static,0,10,,,,,0,0,0,,,
20260914T020417Z_formal_er_static_splitcifar10_3feb7772,splitcifar10,er,er_static,1,10,,,,,0,0,0,,,
20260914T020448Z_formal_er_static_splitcifar10_622747e6,splitcifar10,er,er_static,2,10,,,,,0,0,0,,,
20260914T020518Z_formal_orion_formula_splitcifar10_bb8625ac,splitcifar10,er,orion_formula,0,10,15,15,198,182,0,9,0,2.364997938000215,0.0002058900955453353,0.00024114485187081685
20260914T020550Z_formal_orion_formula_splitcifar10_b8e01a93,splitcifar10,er,orion_formula,1,10,15,15,198,182,0,9,0,2.3224092820000806,0.0002042726894016451,0.00023863864640486822
20260914T020621Z_formal_orion_formula_splitcifar10_cfe36dce,splitcifar10,er,orion_formula,2,10,15,15,198,182,0,9,0,2.315752792999774,0.0002080888092470179,0.00023989869830929
20260914T020653Z_formal_max_p_reconstructed_splitcifar10_6064ad95,splitcifar10,er,max_p_reconstructed,0,10,,,,,0,0,0,,,
20260914T020710Z_formal_max_p_reconstructed_splitcifar10_389e5088,splitcifar10,er,max_p_reconstructed,1,10,,,,,0,0,0,,,
20260914T020727Z_formal_max_p_reconstructed_splitcifar10_40817ded,splitcifar10,er,max_p_reconstructed,2,10,,,,,0,0,0,,,
20260914T020745Z_formal_lr_reconstructed_splitcifar10_b48b6703,splitcifar10,lr,lr_reconstructed,0,10,,,,,0,0,0,,,
20260914T020817Z_formal_lr_reconstructed_splitcifar10_3387b2b3,splitcifar10,lr,lr_reconstructed,1,10,,,,,0,0,0,,,
20260914T020849Z_formal_lr_reconstructed_splitcifar10_161a2fcd,splitcifar10,lr,lr_reconstructed,2,10,,,,,0,0,0,,,
20260914T020947Z_formal_orion_formula_splitcifar100_c9d5c860,splitcifar100,er,orion_formula,0,10,15,15,198,182,0,9,0,2.626561056000355,0.0002336142558159712,0.0002633374094258956
20260914T021021Z_formal_orion_formula_splitcifar100_e152ea59,splitcifar100,er,orion_formula,1,10,15,15,198,182,0,9,0,2.3160118310001963,0.00022574360460123126,0.00024397430991961847
20260914T021053Z_formal_orion_formula_splitcifar100_65bc6965,splitcifar100,er,orion_formula,2,10,15,15,198,182,0,9,0,2.3687115749999066,0.0002208767902615273,0.00024898720568460297
20260914T021126Z_formal_max_p_reconstructed_splitcifar100_5e77404a,splitcifar100,er,max_p_reconstructed,0,10,,,,,0,0,0,,,
20260914T021143Z_formal_max_p_reconstructed_splitcifar100_dfedb875,splitcifar100,er,max_p_reconstructed,1,10,,,,,0,0,0,,,
20260914T021200Z_formal_max_p_reconstructed_splitcifar100_16ea794e,splitcifar100,er,max_p_reconstructed,2,10,,,,,0,0,0,,,
20260914T021218Z_formal_lr_reconstructed_splitcifar100_8d70ff38,splitcifar100,lr,lr_reconstructed,0,10,,,,,0,0,0,,,
20260914T021251Z_formal_lr_reconstructed_splitcifar100_9423eb16,splitcifar100,lr,lr_reconstructed,1,10,,,,,0,0,0,,,
20260914T021322Z_formal_lr_reconstructed_splitcifar100_ad32f918,splitcifar100,lr,lr_reconstructed,2,10,,,,,0,0,0,,,
