run_id,identity,status,experiment,dataset,method,seed,P,S,online_s
20260914T125046Z_light24_d17343f0,c5ccb2ff1d5c2f588e390649e6848924d5975ee9b0d86b10362ee2f51ecc4a5f,completed,L_core,splitcifar100,er_static,0,0.4486,0.5635555555555556,25.667347046997747
20260914T125122Z_light24_02873eff,ec33494637128e02530d3ae9faf4161b29f09570fc5937fae8ca37c8feb7bae6,completed,L_core,splitcifar100,orion_batch_replay,0,0.45200000000000007,0.5572222222222222,26.623347984997963
20260914T125154Z_light24_808aaf42,b33e18466ac6548eb05e903f452485c09ae57d9053b968e4a5de5cbed263f2dc,completed,L_core,splitcifar100,orion_formula,0,0.44110000000000005,0.5683333333333334,26.501629346996197
20260914T125226Z_light24_1fe26c54,be9e9fc8d897270cfb2e4c8433a215c8de1a14a67f40aac8f56f9b8c06727502,completed,L_core,splitcifar100,er_static,1,0.47040000000000004,0.5389999999999999,25.475803613997414
20260914T125257Z_light24_5cb0e538,830c1d1d2edafbb0eb990f291d98ca6d01f8c13fb6873de3da1a11f05af530a2,completed,L_core,splitcifar100,orion_batch_replay,1,0.47189999999999993,0.5313333333333333,26.87834501600446
20260914T125330Z_light24_ab5a0c92,604b4a26757ed61e8b14cb1d58ab360cb1e237cfd459452da214a3c5402036cc,completed,L_core,splitcifar100,orion_formula,1,0.4553,0.5604444444444445,26.509826412999246
20260914T125402Z_light24_d069cc36,d0db593f87b1cff6c14445b7d27f0d08648d481067b7ff50625885703dad5293,completed,L_core,splitcifar100,er_static,2,0.4673,0.5513333333333335,25.658595525004785
20260914T125433Z_light24_d726a527,8f8a8637ef55bcd853c1d53fd2a8df240648c5580dcd02b170062228e22a816d,completed,L_core,splitcifar100,orion_batch_replay,2,0.47850000000000004,0.5321111111111112,26.4663794099979
20260914T125505Z_light24_e84986cd,f93bca957d20b67162acb18d7c090645ea75c66a3490b2f10be5c346e98a9087,completed,L_core,splitcifar100,orion_formula,2,0.4734999999999999,0.5490000000000002,26.53773154100054
20260914T125537Z_light24_88ac689d,4ffb86358e9dc6e2bb38dbad363624a5e3c70e71b87a551d21b0450bd7206b01,completed,L_core,core50_nc,er_static,0,0.6040213070315701,0.4783235241441963,159.73501351600135
20260914T125822Z_light24_a14b6f70,7378da4a83cbd7605b4c2b38ef2637bd0ce34bef0c2a5699324aac5711fd755f,completed,L_core,core50_nc,orion_batch_replay,0,0.603591156256659,0.4724472878197814,120.09874573500565
20260914T130028Z_light24_888e6178,f94f23edfeff0f2281a225bc473513739df62f25ba9308a5e8e3e2ce57534eec,completed,L_core,core50_nc,orion_formula,0,0.6092765718255275,0.4687635166243076,111.23236334200192
20260914T130225Z_light24_16237393,4f3becd30e30ea4d224ad103ae1856a85d0bcb225e36aca8a8596dd4aca170a9,completed,L_core,core50_nc,er_static,1,0.6069996759464813,0.4782099495130163,110.34408961900044
20260914T130421Z_light24_69174d85,b26c449eabd4cab2b9819e7e5f150adf4c8a7f8a9754078d458795b26dcde32d,completed,L_core,core50_nc,orion_batch_replay,1,0.6200973184711915,0.4483545351664102,112.28913035299774
20260914T130619Z_light24_dc69e4de,f41c12352df5d1c01d2afd0c1b6a5e2af3756af81c781050ea078a24a9ec8d8e,completed,L_core,core50_nc,orion_formula,1,0.6333867158893441,0.43054262822363354,113.9712380580022
20260914T130819Z_light24_1b29c520,87e6c0e89d8cccbe81c4191d6d38e86d29ca68ee1108cb4df975129c12a0fadd,completed,L_core,core50_nc,er_static,2,0.5759269576837084,0.5099129329391449,111.00531868800317
20260914T131016Z_light24_bf4b7491,e30f8f3a7e67e857bf9d7eb3aaa291eb6c642353615396b9d3e82879159a2cc3,completed,L_core,core50_nc,orion_batch_replay,2,0.5662423866201143,0.5114750236501903,111.96107628699974
20260914T131213Z_light24_b17e92f8,6feae2c4a65c1348956bfcea62be24a46c96a7e720037329abaa2c81cae2a5ec,completed,L_core,core50_nc,orion_formula,2,0.6092073642433096,0.48504784256152433,112.93750036200072
20260914T132054Z_light24_53d444f1,9cdc30c22dc3f9ee6c53cd348976c8625c526d70468234213298656d8ee0b298,completed,L_search,splitcifar100,er_static,0,0.43229999999999996,0.5842222222222222,21.429340643000614
20260914T132121Z_light24_81cf877b,43e57139d72707319cb69fe5810776ae82091b83a2b314d10173dc444674d91f,completed,L_search,splitcifar100,er_static,0,0.4024,0.7086666666666667,21.640855146994
20260914T132149Z_light24_9d1b174f,555b691113bd141f3b430a1422bbab845d6f3f2eed9e0f409c7de28489e69ba4,completed,L_search,splitcifar100,er_static,0,0.3266,0.6953333333333334,13.678985678001482
20260914T132208Z_light24_6bb0f1c4,1488a765cc4ef4a7c1e5279869e72ee391a74bde1b5fbd952b317a89685e728f,completed,L_search,splitcifar100,er_static,0,0.316,0.7136666666666667,15.46868963399902
20260914T132229Z_light24_b2a39504,f4cfa5aad1207a6c58b9024efa7a67e7ac2a7aa3c6e95517499c007d7ea809f6,completed,L_search,splitcifar100,er_static,0,0.0402,0.981,13.928205210999295
20260914T132248Z_light24_c1da224b,4d3fbc0446ccf949d508a69cde8b3538ce6c29cda8f0578dda34766d8a4a0f95,completed,L_search,splitcifar100,er_static,0,0.0331,0.9857777777777778,14.858986729006574
20260914T132309Z_light24_2eccf6c4,a192db1b51b438c77b5b108420a55e83007639db4f27ef93f68f21a0658cab39,completed,L_search,core50_nc,er_static,0,0.647874048236726,0.44895384735850585,79.94676643599814
20260914T132434Z_light24_af70ddf0,f0494e3634f486c1d3ad1649bbb2a1501a8f48cfe38db6ad3d9521b5c5f69661,completed,L_search,core50_nc,er_static,0,0.5322407219662143,0.7670194695957648,78.33739976699871
20260914T132557Z_light24_710d8aea,80328e1c93217e41a7f0fab69d3b547eedb466fca24ec98e9f6cd6f698d95749,completed,L_search,core50_nc,er_static,0,0.5841200737058512,0.48981650912644437,56.169728957996995
20260914T132658Z_light24_af60ce28,3cb4e6725045ba1afff9c9f1e896ca470f5672164b4f69a4d5a247bfb0371f4c,completed,L_search,core50_nc,er_static,0,0.48910892344462886,0.7799517719097435,59.7100478489956
20260914T132802Z_light24_ee14f6e5,5184dc106ce1b6868b7295f35e31bb57993f3accabf66bd03a9e4d4fe5c5b55c,completed,L_search,core50_nc,er_static,0,0.3487780256464992,0.6885662313820717,51.17286529300327
20260914T132858Z_light24_45ccf9e6,5d93f1cf74e6def666b6144ad29f5feb1dbeb64ca4d2635509469c29197246df,completed,L_search,core50_nc,er_static,0,0.3276958668766848,0.7240392822890296,53.83704096900328
