experiment,variant,n_expected,n_completed,P_mean,P_sd,S_mean,S_sd,online_s_mean,online_s_sd
L_core,splitcifar100_er_static,3,3,0.4621,0.011793642355099646,0.5512962962962963,0.012277819674807067,25.600582061999983,0.1081498640717848
L_core,splitcifar100_orion_batch_replay,3,3,0.4674666666666667,0.013795047420481467,0.5402222222222223,0.01472756716392425,26.656024137000106,0.2079175637490461
L_core,splitcifar100_orion_formula,3,3,0.45663333333333334,0.016241100126941257,0.5592592592592593,0.00972100521483401,26.51639576699866,0.018926421002371876
L_core,core50_nc_er_static,3,3,0.5956493135539199,0.017144858154903995,0.4888154688654525,0.01827102809244096,127.02814060766832,28.326912248810498
L_core,core50_nc_orion_batch_replay,3,3,0.5966436204493216,0.02759147715358351,0.47742561554546065,0.03185336445049333,114.78298412500105,4.606505832879572
L_core,core50_nc_orion_formula,3,3,0.6172902173193937,0.013940019622714687,0.4614513291364885,0.027978664405178776,112.71370058733494,1.3830847522266105
L_search,splitcifar100_b16_r200,1,1,0.43229999999999996,,0.5842222222222222,,21.429340643000614,
L_search,splitcifar100_b16_r2000,1,1,0.4024,,0.7086666666666667,,21.640855146994,
L_search,splitcifar100_b64_r200,1,1,0.3266,,0.6953333333333334,,13.678985678001482,
L_search,splitcifar100_b64_r2000,1,1,0.316,,0.7136666666666667,,15.46868963399902,
L_search,splitcifar100_b256_r200,1,1,0.0402,,0.981,,13.928205210999295,
L_search,splitcifar100_b256_r2000,1,1,0.0331,,0.9857777777777778,,14.858986729006574,
L_search,core50_nc_b16_r200,1,1,0.647874048236726,,0.44895384735850585,,79.94676643599814,
L_search,core50_nc_b16_r2000,1,1,0.5322407219662143,,0.7670194695957648,,78.33739976699871,
L_search,core50_nc_b64_r200,1,1,0.5841200737058512,,0.48981650912644437,,56.169728957996995,
L_search,core50_nc_b64_r2000,1,1,0.48910892344462886,,0.7799517719097435,,59.7100478489956,
L_search,core50_nc_b256_r200,1,1,0.3487780256464992,,0.6885662313820717,,51.17286529300327,
L_search,core50_nc_b256_r2000,1,1,0.3276958668766848,,0.7240392822890296,,53.83704096900328,
L_budget,cifar100_er_static_128mib,3,0,,,,,,
L_budget,cifar100_orion_formula_128mib,3,0,,,,,,
L_budget,cifar100_er_static_256mib,3,3,0.4739333333333333,0.005918051481132427,0.5412592592592593,0.008611170848060422,25.726330243667082,0.2468360947807833
L_budget,cifar100_orion_formula_256mib,3,3,0.4731666666666667,0.010954603294201651,0.542037037037037,0.013715060359270602,27.070291638665367,0.3170653286943411
L_budget,cifar100_er_static_512mib,3,3,0.47576666666666667,0.013909109724685285,0.5370370370370371,0.011627093377604002,25.774650212998193,0.32010618275526415
L_budget,cifar100_orion_formula_512mib,3,3,0.46423333333333333,0.004407191093353312,0.5511851851851852,0.006933843760888522,26.9600866126663,0.38898002123769587
