comparison,dataset,seed,status,dP,dS,d_online_s,P_a,P_b,S_a,S_b,t_a,t_b
orion_formula - er_static,splitcifar100,0,completed,-0.007500000000000007,0.00477777777777777,0.8342822999984527,0.4411,0.4486,0.5683333333333334,0.5635555555555556,26.5016293469962,25.667347046997747
orion_formula - er_static,splitcifar100,1,completed,-0.015100000000000002,0.0214444444444446,1.0340227990018391,0.4553,0.4704,0.5604444444444445,0.5389999999999999,26.50982641299925,25.47580361399741
orion_formula - er_static,splitcifar100,2,completed,0.006199999999999928,-0.0023333333333332984,0.8791360159957549,0.4734999999999999,0.4673,0.5490000000000002,0.5513333333333335,26.53773154100054,25.658595525004785
orion_batch_replay - er_static,splitcifar100,0,completed,0.003400000000000014,-0.006333333333333413,0.9560009380002157,0.452,0.4486,0.5572222222222222,0.5635555555555556,26.623347984997963,25.667347046997747
orion_batch_replay - er_static,splitcifar100,1,completed,0.0014999999999998903,-0.0076666666666665995,1.4025414020070492,0.4718999999999999,0.4704,0.5313333333333333,0.5389999999999999,26.87834501600446,25.47580361399741
orion_batch_replay - er_static,splitcifar100,2,completed,0.011199999999999988,-0.01922222222222225,0.807783884993114,0.4785,0.4673,0.5321111111111112,0.5513333333333335,26.4663794099979,25.658595525004785
selected_static - er_static,splitcifar100,0,completed,-0.031700000000000006,0.1601111111111111,0.2766020050039515,0.4169,0.4486,0.7236666666666667,0.5635555555555556,25.9439490520017,25.667347046997747
selected_static - er_static,splitcifar100,1,completed,-0.06529999999999997,0.15022222222222226,0.36764196900185553,0.4051,0.4704,0.6892222222222222,0.5389999999999999,25.843445582999266,25.47580361399741
selected_static - er_static,splitcifar100,2,completed,-0.02250000000000002,0.11811111111111106,0.07009091599320527,0.4448,0.4673,0.6694444444444445,0.5513333333333335,25.72868644099799,25.658595525004785
selected_static - orion_formula,splitcifar100,0,completed,-0.0242,0.15533333333333332,-0.5576802949945012,0.4169,0.4411,0.7236666666666667,0.5683333333333334,25.9439490520017,26.5016293469962
selected_static - orion_formula,splitcifar100,1,completed,-0.05019999999999997,0.12877777777777766,-0.6663808299999836,0.4051,0.4553,0.6892222222222222,0.5604444444444445,25.843445582999266,26.50982641299925
selected_static - orion_formula,splitcifar100,2,completed,-0.028699999999999948,0.12044444444444435,-0.8090451000025496,0.4448,0.4734999999999999,0.6694444444444445,0.5490000000000002,25.72868644099799,26.53773154100054
orion_formula - er_static,core50_nc,0,completed,0.005255264793957437,-0.009560007519888725,-48.502650173999456,0.6092765718255275,0.6040213070315701,0.4687635166243076,0.4783235241441963,111.23236334200192,159.73501351600137
orion_formula - er_static,core50_nc,1,completed,0.026387039942862844,-0.047667321289382836,3.6271484390017577,0.6333867158893441,0.6069996759464813,0.4305426282236335,0.4782099495130163,113.9712380580022,110.34408961900044
orion_formula - er_static,core50_nc,2,completed,0.03328040655960118,-0.02486509037762058,1.9321816739975617,0.6092073642433096,0.5759269576837084,0.4850478425615243,0.5099129329391449,112.93750036200072,111.00531868800316
orion_batch_replay - er_static,core50_nc,0,completed,-0.00043015077491104226,-0.0058762363244149185,-39.63626778099574,0.603591156256659,0.6040213070315701,0.4724472878197814,0.4783235241441963,120.09874573500564,159.73501351600137
orion_batch_replay - er_static,core50_nc,1,completed,0.01309764252471024,-0.0298554143466061,1.9450407339973026,0.6200973184711915,0.6069996759464813,0.4483545351664102,0.4782099495130163,112.28913035299774,110.34408961900044
orion_batch_replay - er_static,core50_nc,2,completed,-0.009684571063594105,0.0015620907110454052,0.9557575989965841,0.5662423866201143,0.5759269576837084,0.5114750236501903,0.5099129329391449,111.96107628699974,111.00531868800316
selected_static - er_static,core50_nc,0,completed,-0.08115932969145734,0.27249245475935935,-45.78468687500573,0.5228619773401127,0.6040213070315701,0.7508159789035557,0.4783235241441963,113.95032664099564,159.73501351600137
selected_static - er_static,core50_nc,1,completed,-0.08365594860484837,0.23340846081725375,1.5173397079997812,0.5233437273416329,0.6069996759464813,0.7116184103302701,0.4782099495130163,111.86142932700022,110.34408961900044
selected_static - er_static,core50_nc,2,completed,-0.0843070501183652,0.26056183548826595,0.7721316629977224,0.4916199075653432,0.5759269576837084,0.7704747684274108,0.5099129329391449,111.77745035100088,111.00531868800316
selected_static - orion_formula,core50_nc,0,completed,-0.08641459448541478,0.2820524622792481,2.7179632989937232,0.5228619773401127,0.6092765718255275,0.7508159789035557,0.4687635166243076,113.95032664099564,111.23236334200192
selected_static - orion_formula,core50_nc,1,completed,-0.11004298854771122,0.2810757821066366,-2.1098087310019764,0.5233437273416329,0.6333867158893441,0.7116184103302701,0.4305426282236335,111.86142932700022,113.9712380580022
selected_static - orion_formula,core50_nc,2,completed,-0.11758745667796638,0.2854269258658865,-1.1600500109998393,0.4916199075653432,0.6092073642433096,0.7704747684274108,0.4850478425615243,111.77745035100088,112.93750036200072
pref_latency - orion_balanced,core50_nc,0,completed,0.00942977906025122,-0.01977175487208971,4.775821262999685,0.6187063508857787,0.6092765718255275,0.4489917617522179,0.4687635166243076,116.0081846050016,111.23236334200192
pref_latency - orion_balanced,core50_nc,1,completed,-0.01077219914888028,0.026895359510904215,-5.732134012003357,0.6226145167404639,0.6333867158893441,0.4574379877345377,0.4305426282236335,108.23910404599884,113.9712380580022
pref_latency - orion_balanced,core50_nc,2,completed,-0.017008289993647563,0.014479228210137418,-4.451213825996078,0.592199074249662,0.6092073642433096,0.4995270707716617,0.4850478425615243,108.48628653600464,112.93750036200072
pref_ps - orion_balanced,core50_nc,0,completed,-4.183093820209205e-05,-0.007726673207345991,-1.1142140250012744,0.6092347408873254,0.6092765718255275,0.4610368434169616,0.4687635166243076,110.11814931700064,111.23236334200192
pref_ps - orion_balanced,core50_nc,1,completed,-0.038031561625098464,0.052090063969133404,-3.7307266220086603,0.5953551542642457,0.6333867158893441,0.4826326921927669,0.4305426282236335,110.24051143599354,113.9712380580022
pref_ps - orion_balanced,core50_nc,2,completed,0.021785477485827598,-0.025661236375497276,-3.3024110199985586,0.6309928417291372,0.6092073642433096,0.459386606186027,0.4850478425615243,109.63508934200216,112.93750036200072
thr0.025 - thr0.05_orion,splitcifar100,0,completed,0.01629999999999998,-0.013555555555555543,-0.1494012650000549,0.4574,0.4411,0.5547777777777778,0.5683333333333334,26.352228081996145,26.5016293469962
thr0.025 - thr0.05_orion,splitcifar100,1,completed,0.03300000000000003,-0.03733333333333344,-0.4852524419984583,0.4883,0.4553,0.5231111111111111,0.5604444444444445,26.02457397100079,26.50982641299925
thr0.025 - thr0.05_orion,splitcifar100,2,completed,0.009100000000000052,-0.014555555555555766,-1.1099122719970183,0.4826,0.4734999999999999,0.5344444444444444,0.5490000000000002,25.42781926900352,26.53773154100054
thr0.025 - thr0.05_orion,core50_nc,0,completed,-0.0011066791925156139,-0.012026927010518884,7.319233492999047,0.6081698926330119,0.6092765718255275,0.4567365896137887,0.4687635166243076,118.55159683500096,111.23236334200192
thr0.025 - thr0.05_orion,core50_nc,1,completed,-0.008813145841412573,0.004722829834943099,3.545450557001459,0.6245735700479316,0.6333867158893441,0.4352654580585766,0.4305426282236335,117.51668861500366,113.9712380580022
thr0.025 - thr0.05_orion,core50_nc,2,completed,-0.0244694713741197,0.009353598638120297,-4.554744574001234,0.5847378928691899,0.6092073642433096,0.4944014411996446,0.4850478425615243,108.38275578799949,112.93750036200072
thr0.1 - thr0.05_orion,splitcifar100,0,completed,0.0230999999999999,-0.02344444444444449,2.1441064590035204,0.4641999999999999,0.4411,0.5448888888888889,0.5683333333333334,28.64573580599972,26.5016293469962
thr0.1 - thr0.05_orion,splitcifar100,1,completed,0.017899999999999916,-0.026111111111111196,-0.03461118000268826,0.4731999999999999,0.4553,0.5343333333333333,0.5604444444444445,26.47521523299656,26.50982641299925
thr0.1 - thr0.05_orion,splitcifar100,2,completed,-0.0007999999999999119,-0.0067777777777779935,-0.7014986930007581,0.4727,0.4734999999999999,0.5422222222222222,0.5490000000000002,25.83623284799978,26.53773154100054
thr0.1 - thr0.05_orion,core50_nc,0,completed,0.022665217362761836,-0.03836710501785351,4.6278933599969605,0.6319417891882894,0.6092765718255275,0.4303964116064541,0.4687635166243076,115.86025670199888,111.23236334200192
thr0.1 - thr0.05_orion,core50_nc,1,completed,-0.0025384677172705095,-0.0016483361926679652,-5.525207685001078,0.6308482481720736,0.6333867158893441,0.4288942920309655,0.4305426282236335,108.44603037300112,113.9712380580022
thr0.1 - thr0.05_orion,core50_nc,2,completed,-0.032109086413777854,0.024792381754676962,-0.7151656290006798,0.5770982778295317,0.6092073642433096,0.5098402243162012,0.4850478425615243,112.22233473300004,112.93750036200072
prefetch on - off,core50_nc,0,completed,0.0,0.0,52.607920548995025,0.6062514233870816,0.6062514233870816,0.4795712387440123,0.4795712387440123,171.74657865599875,119.13865810700372
prefetch on - off,core50_nc,1,completed,0.0,0.0,56.16682632700396,0.6158247604622925,0.6158247604622925,0.4534473601851658,0.4534473601851658,182.3956799750013,126.22885364799733
prefetch on - off,core50_nc,2,completed,0.0,0.0,39.180601515996386,0.6205392211705648,0.6205392211705648,0.4656462185896628,0.4656462185896628,170.85856464499375,131.67796312899736
endless orion - er,endless_ic,0,completed,0.031108615397800854,-0.09709871666090775,-9.716897225996945,,,,,,
endless orion - er,endless_ic,1,completed,0.04936975924841647,0.09929474320622955,-3.1681725659946096,,,,,,
endless orion - er,endless_ic,2,completed,-0.02604166666666674,0.037381429350234696,-7.48362308499782,,,,,,
endless orion - er,endless_il,0,completed,0.003078746774331842,-0.007725842660646576,-4.1874169140064765,,,,,,
endless orion - er,endless_il,1,completed,0.0019377714721405814,0.012647056892981956,-2.1216746409991174,,,,,,
endless orion - er,endless_il,2,completed,0.011305675146084604,-0.015911723889497464,-4.1011960719988565,,,,,,
endless orion - er,endless_wc,0,completed,-0.007888592645296288,0.0061592066453107774,-7.486333987995735,,,,,,
endless orion - er,endless_wc,1,completed,0.00293227282503683,0.003752200002796413,-2.1107299980067182,,,,,,
endless orion - er,endless_wc,2,completed,-0.08560921889748008,0.11608750064799278,-8.422237897000727,,,,,,
