experiment,variant,dataset,seed,status,run_id,P,S,online_s,learning_s_sum,evaluation_s_sum,controller_s_sum,reconfigure_s_sum,prefetch_wait_sum,prefetch_batches_sum,replay_visits_sum,new_visits_sum,memory_mib_peak,proc_rss_peak_mib,gpu_alloc_peak_mib,gpu_global_peak_mib,swap_used_peak_mib,urge_max,urge_mean,applied_batch_min,applied_batch_max,applied_replay_min,applied_replay_max,n_mode_switches,guard_nonok
L_core,splitcifar100_er_static,splitcifar100,0,completed,20260914T125046Z_light24_d17343f0,0.4486,0.5635555555555556,25.667347046997747,21.07706624601269,4.13740933900408,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2102.3125,129.30908203125,1372.5625,58.9140625,,,,,,,,
L_core,splitcifar100_orion_batch_replay,splitcifar100,0,completed,20260914T125122Z_light24_02873eff,0.452,0.5572222222222222,26.623347984997963,21.952141800997197,4.226233511006285,0.0009503949986537918,0.004900577005173545,0.0,3319.0,43267.0,50000.0,125.20703125,2110.37109375,125.20703125,1372.5625,58.9140625,0.00024961167482362293,0.0002347180264063778,15.0,15.0,182.0,198.0,0.0,0.0
L_core,splitcifar100_orion_formula,splitcifar100,0,completed,20260914T125154Z_light24_808aaf42,0.4411,0.5683333333333334,26.5016293469962,21.85777438000514,4.210177173001284,0.0004945709806634113,0.0037214039839454927,0.0,3319.0,43267.0,50000.0,125.20703125,2109.13671875,125.20703125,1372.5625,59.96875,0.00024909106091732094,0.00023461044899626736,15.0,15.0,182.0,198.0,0.0,0.0
L_core,splitcifar100_er_static,splitcifar100,1,completed,20260914T125226Z_light24_1fe26c54,0.4704,0.5389999999999999,25.47580361399741,20.874644083007297,4.176266280002892,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2106.71875,129.30908203125,1372.5625,59.96875,,,,,,,,
L_core,splitcifar100_orion_batch_replay,splitcifar100,1,completed,20260914T125257Z_light24_5cb0e538,0.4718999999999999,0.5313333333333333,26.87834501600446,22.2637688360046,4.17919296099717,0.00047376098518725485,0.004469527018954977,0.0,3319.0,43267.0,50000.0,125.20703125,2109.77734375,125.20703125,1372.5625,59.96875,0.0002501164543202236,0.00023694354784325816,15.0,15.0,182.0,198.0,0.0,0.0
L_core,splitcifar100_orion_formula,splitcifar100,1,completed,20260914T125330Z_light24_ab5a0c92,0.4553,0.5604444444444445,26.50982641299925,21.903226189991983,4.168867720996786,0.00046192599984351546,0.0038124580023577437,0.0,3319.0,43267.0,50000.0,125.20703125,2108.96484375,125.20703125,1372.5625,59.96875,0.00024771271010100933,0.00023528014414229555,15.0,15.0,182.0,198.0,0.0,0.0
L_core,splitcifar100_er_static,splitcifar100,2,completed,20260914T125402Z_light24_d069cc36,0.4673,0.5513333333333335,25.658595525004785,21.003040500007046,4.228607656004897,,,0.0,3130.0,43344.0,50000.0,129.30908203125,2105.35546875,129.30908203125,1372.5625,59.96875,,,,,,,,
L_core,splitcifar100_orion_batch_replay,splitcifar100,2,completed,20260914T125433Z_light24_d726a527,0.4785,0.5321111111111112,26.4663794099979,21.789249873007066,4.2386121040035505,0.0005447860094136558,0.0037333770014811307,0.0,3319.0,43267.0,50000.0,125.20703125,2108.72265625,125.20703125,1372.5625,59.96875,0.0002475441259726858,0.0002345648060237821,15.0,15.0,182.0,198.0,0.0,0.0
L_core,splitcifar100_orion_formula,splitcifar100,2,completed,20260914T125505Z_light24_e84986cd,0.4734999999999999,0.5490000000000002,26.53773154100054,21.93262018400128,4.17181771799369,0.0005027250008424744,0.003982940987043548,0.0,3319.0,43267.0,50000.0,125.20703125,2110.38671875,125.20703125,1372.5625,59.96875,0.00024645978097786623,0.00023612016926545743,15.0,15.0,182.0,198.0,0.0,0.0
L_core,core50_nc_er_static,core50_nc,0,completed,20260914T125537Z_light24_88ac689d,0.6040213070315701,0.4783235241441963,159.73501351600137,101.31689621700934,57.997105819988064,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1976.27734375,129.27880859375,1372.5625,61.98828125,,,,,,,,
L_core,core50_nc_orion_batch_replay,core50_nc,0,completed,20260914T125822Z_light24_a14b6f70,0.603591156256659,0.4724472878197814,120.09874573500564,75.20843125799729,44.45426640799997,0.0006075350029277615,0.007145243005652446,0.0,7898.0,92368.0,119894.0,125.1767578125,1976.8984375,125.1767578125,1372.5625,84.5,0.006134643666215681,0.0015400759947704987,15.0,15.0,185.0,198.0,0.0,0.0
L_core,core50_nc_orion_formula,core50_nc,0,completed,20260914T130028Z_light24_888e6178,0.6092765718255275,0.4687635166243076,111.23236334200192,67.0505087959973,43.749632301980455,0.000432632994488813,0.0052269949883338995,0.0,7898.0,92307.0,119894.0,125.1767578125,1979.41015625,125.1767578125,1372.5625,88.55078125,0.0017970306344206322,0.0009133133656355665,15.0,15.0,184.0,198.0,0.0,0.0
L_core,core50_nc_er_static,core50_nc,1,completed,20260914T130225Z_light24_16237393,0.6069996759464813,0.4782099495130163,110.34408961900044,65.87027606600896,44.05103491099726,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1975.7109375,129.27880859375,1372.5625,88.55078125,,,,,,,,
L_core,core50_nc_orion_batch_replay,core50_nc,1,completed,20260914T130421Z_light24_69174d85,0.6200973184711915,0.4483545351664102,112.28913035299774,67.61710025598586,44.241309821023606,0.00043637200724333525,0.005290125991450623,0.0,7898.0,92307.0,119894.0,125.1767578125,1981.66015625,125.1767578125,1372.5625,90.0078125,0.0017165288092143554,0.0009197631291349999,15.0,15.0,184.0,198.0,0.0,0.0
L_core,core50_nc_orion_formula,core50_nc,1,completed,20260914T130619Z_light24_dc69e4de,0.6333867158893441,0.4305426282236335,113.9712380580022,68.85294243401586,44.681742174005194,0.000697757990565151,0.005284796992782503,0.0,7898.0,92307.0,119894.0,125.1767578125,1978.30078125,125.1767578125,1372.5625,90.0078125,0.00195811047362995,0.0009679704697237607,15.0,15.0,184.0,198.0,0.0,0.0
L_core,core50_nc_er_static,core50_nc,2,completed,20260914T130819Z_light24_1b29c520,0.5759269576837084,0.5099129329391449,111.00531868800316,66.33631344700552,44.24290041998756,,,0.0,7498.0,92336.0,119894.0,129.27880859375,1977.234375,129.27880859375,1372.5625,90.0078125,,,,,,,,
L_core,core50_nc_orion_batch_replay,core50_nc,2,completed,20260914T131016Z_light24_bf4b7491,0.5662423866201143,0.5114750236501903,111.96107628699974,67.51819855598296,44.01985633499862,0.0005213819968048483,0.004974015995685477,0.0,7898.0,92307.0,119894.0,125.1767578125,1976.15234375,125.1767578125,1372.5625,90.0078125,0.001847828280441545,0.000927798045491126,15.0,15.0,184.0,198.0,0.0,0.0
L_core,core50_nc_orion_formula,core50_nc,2,completed,20260914T131213Z_light24_b17e92f8,0.6092073642433096,0.4850478425615243,112.93750036200072,67.80130965098942,44.69224678699538,0.0004725090111605823,0.005125700008647982,0.0,7898.0,92307.0,119894.0,125.1767578125,1979.9296875,125.1767578125,1372.5625,90.0078125,0.0018328886552211063,0.0009321400891666455,15.0,15.0,184.0,198.0,0.0,0.0
L_search,splitcifar100_b16_r200,splitcifar100,0,completed,20260914T132054Z_light24_53d444f1,0.4322999999999999,0.5842222222222222,21.42934064300061,16.82796629299264,4.163826656978927,,,0.0,2500.0,34632.0,40000.0,129.30908203125,2067.28515625,129.30908203125,1372.5625,90.0078125,,,,,,,,
L_search,splitcifar100_b16_r2000,splitcifar100,0,completed,20260914T132121Z_light24_81cf877b,0.4024,0.7086666666666667,21.640855146994,17.02856700499251,4.1836165159984375,,,0.0,2500.0,36000.0,40000.0,129.30908203125,2070.859375,129.30908203125,1372.5625,90.0078125,,,,,,,,
L_search,splitcifar100_b64_r200,splitcifar100,0,completed,20260914T132149Z_light24_9d1b174f,0.3266,0.6953333333333334,13.678985678001482,9.19535566301056,4.0536445599937,,,0.0,630.0,28728.0,40000.0,260.0390625,2065.16796875,260.0390625,1524.5625,90.0078125,,,,,,,,
L_search,splitcifar100_b64_r2000,splitcifar100,0,completed,20260914T132208Z_light24_6bb0f1c4,0.316,0.7136666666666667,15.46868963399902,10.779712049981754,4.263775493011053,,,0.0,630.0,35856.0,40000.0,260.0390625,2063.4296875,260.0390625,1524.5625,90.0078125,,,,,,,,
L_search,splitcifar100_b256_r200,splitcifar100,0,completed,20260914T132229Z_light24_b2a39504,0.0402,0.981,13.928205210999296,9.488792218995513,4.0087478420027765,,,0.0,160.0,28800.0,40000.0,767.79052734375,2105.80078125,767.79052734375,2244.5625,93.01171875,,,,,,,,
L_search,splitcifar100_b256_r2000,splitcifar100,0,completed,20260914T132248Z_light24_c1da224b,0.0331,0.9857777777777778,14.858986729006574,10.33724994500517,4.078801868003211,,,0.0,160.0,36000.0,40000.0,853.2177734375,2114.96484375,853.2177734375,2286.5625,93.01171875,,,,,,,,
L_search,core50_nc_b16_r200,core50_nc,0,completed,20260914T132309Z_light24_2eccf6c4,0.647874048236726,0.4489538473585058,79.94676643599814,54.922679795003205,24.62077249500726,,,0.0,5999.0,73592.0,95918.0,129.27880859375,1944.89453125,129.27880859375,1372.5625,93.01171875,,,,,,,,
L_search,core50_nc_b16_r2000,core50_nc,0,completed,20260914T132434Z_light24_af70ddf0,0.5322407219662143,0.7670194695957648,78.33739976699871,53.99883715098986,23.897437418992922,,,0.0,5999.0,76496.0,95918.0,129.27880859375,1947.48046875,129.27880859375,1372.5625,93.01171875,,,,,,,,
L_search,core50_nc_b64_r200,core50_nc,0,completed,20260914T132557Z_light24_710d8aea,0.5841200737058512,0.4898165091264443,56.169728957997,31.923081599023135,23.844113999999536,,,0.0,1503.0,60096.0,95918.0,259.990234375,1943.96875,259.990234375,1528.5625,93.01171875,,,,,,,,
L_search,core50_nc_b64_r2000,core50_nc,0,completed,20260914T132658Z_light24_af60ce28,0.4891089234446288,0.7799517719097435,59.7100478489956,35.1831480549954,24.07743636201485,,,0.0,1503.0,75088.0,95918.0,259.990234375,1947.0625,259.990234375,1524.5625,93.01171875,,,,,,,,
L_search,core50_nc_b256_r200,core50_nc,0,completed,20260914T132802Z_light24_ee14f6e5,0.3487780256464992,0.6885662313820717,51.17286529300327,26.941335922994767,23.82325090100494,,,0.0,378.0,60200.0,95918.0,767.6669921875,1979.296875,767.6669921875,2264.5625,93.01171875,,,,,,,,
L_search,core50_nc_b256_r2000,core50_nc,0,completed,20260914T132858Z_light24_45ccf9e6,0.3276958668766848,0.7240392822890296,53.83704096900328,29.381772076012567,24.013111918000504,,,0.0,378.0,75424.0,95918.0,853.08349609375,1998.89453125,853.08349609375,2306.5625,93.01171875,,,,,,,,
L_budget,cifar100_er_static_128mib,splitcifar100,0,cuda_oom,20260914T134158Z_light24_0922592c,,,,,,,,,,,,,2043.09765625,101.74072265625,1310.5625,93.01171875,,,,,,,,
