dataset,seed,exp,gem_bytes,ewc_bytes,memory_mib
splitcifar10,0,0,615200,2157776,70.82421875
splitcifar10,0,1,1230400,4315552,148.369140625
splitcifar10,0,2,1845600,6473328,153.046875
splitcifar10,0,3,2460800,8631104,156.89453125
splitcifar10,0,4,3076000,10788880,162.78125
splitcifar10,0,5,3691200,12946656,165.5546875
splitcifar10,0,6,4306400,15104432,169.203125
splitcifar10,0,7,4921600,17262208,172.8515625
splitcifar10,0,8,5536800,19419984,176.6240234375
splitcifar10,0,9,6152000,21577760,181.7109375
splitcifar10,1,0,615200,2157776,70.82421875
splitcifar10,1,1,1230400,4315552,148.369140625
splitcifar10,1,2,1845600,6473328,153.046875
splitcifar10,1,3,2460800,8631104,156.89453125
splitcifar10,1,4,3076000,10788880,162.78125
splitcifar10,1,5,3691200,12946656,165.5546875
splitcifar10,1,6,4306400,15104432,169.203125
splitcifar10,1,7,4921600,17262208,172.8515625
splitcifar10,1,8,5536800,19419984,176.6240234375
splitcifar10,1,9,6152000,21577760,181.7109375
splitcifar10,2,0,615200,2157776,70.82421875
splitcifar10,2,1,1230400,4315552,148.369140625
splitcifar10,2,2,1845600,6473328,153.046875
splitcifar10,2,3,2460800,8631104,156.89453125
splitcifar10,2,4,3076000,10788880,162.78125
splitcifar10,2,5,3691200,12946656,165.5546875
splitcifar10,2,6,4306400,15104432,169.203125
splitcifar10,2,7,4921600,17262208,172.8515625
splitcifar10,2,8,5536800,19419984,176.6240234375
splitcifar10,2,9,6152000,21577760,181.7109375
splitcifar100,0,0,615200,2204576,70.89013671875
splitcifar100,0,1,1230400,4409152,148.47509765625
splitcifar100,0,2,1845600,6613728,153.21875
splitcifar100,0,3,2460800,8818304,156.22998046875
splitcifar100,0,4,3076000,11022880,161.9638671875
splitcifar100,0,5,3691200,13227456,165.1708984375
splitcifar100,0,6,4306400,15432032,169.55078125
splitcifar100,0,7,4921600,17636608,173.2431640625
splitcifar100,0,8,5536800,19841184,177.39208984375
splitcifar100,0,9,6152000,22045760,182.1904296875
