cell_id,new_batch,replay_capacity,replay_batch,pred_device_bytes,pred_device_mib,pred_host_replay_uint8_bytes,pred_host_replay_uint8_mib,pred_host_replay_latent_bytes,note
b16_r10,16,10,16,124530834,118.761858,30720,0.029297,327760,ok
b16_r100,16,100,16,124530834,118.761858,307200,0.292969,3277600,ok
b16_r1000,16,1000,16,124530834,118.761858,3072000,2.929688,32776000,ok
b16_r10000,16,10000,16,124530834,118.761858,30720000,29.296875,327760000,ok
b16_r100000,16,100000,16,124530834,118.761858,307200000,292.968750,3277600000,ok
b16_r1000000,16,1000000,16,124530834,118.761858,3072000000,2929.687500,32776000000,host_replay_over_2gib
b32_r10,32,10,32,177265957,169.053990,30720,0.029297,327760,ok
b32_r100,32,100,32,177265957,169.053990,307200,0.292969,3277600,ok
b32_r1000,32,1000,32,177265957,169.053990,3072000,2.929688,32776000,ok
b32_r10000,32,10000,32,177265957,169.053990,30720000,29.296875,327760000,ok
b32_r100000,32,100000,32,177265957,169.053990,307200000,292.968750,3277600000,ok
b32_r1000000,32,1000000,32,177265957,169.053990,3072000000,2929.687500,32776000000,host_replay_over_2gib
b64_r10,64,10,64,282736201,269.638253,30720,0.029297,327760,ok
b64_r100,64,100,64,282736201,269.638253,307200,0.292969,3277600,ok
b64_r1000,64,1000,64,282736201,269.638253,3072000,2.929688,32776000,ok
b64_r10000,64,10000,64,282736201,269.638253,30720000,29.296875,327760000,ok
b64_r100000,64,100000,64,282736201,269.638253,307200000,292.968750,3277600000,ok
b64_r1000000,64,1000000,64,282736201,269.638253,3072000000,2929.687500,32776000000,host_replay_over_2gib
b128_r10,128,10,128,493676690,470.806780,30720,0.029297,327760,ok
b128_r100,128,100,128,493676690,470.806780,307200,0.292969,3277600,ok
b128_r1000,128,1000,128,493676690,470.806780,3072000,2.929688,32776000,ok
b128_r10000,128,10000,128,493676690,470.806780,30720000,29.296875,327760000,ok
b128_r100000,128,100000,128,493676690,470.806780,307200000,292.968750,3277600000,ok
b128_r1000000,128,1000000,128,493676690,470.806780,3072000000,2929.687500,32776000000,host_replay_over_2gib
b256_r10,256,10,256,915557669,873.143834,30720,0.029297,327760,ok
b256_r100,256,100,256,915557669,873.143834,307200,0.292969,3277600,ok
b256_r1000,256,1000,256,915557669,873.143834,3072000,2.929688,32776000,ok
b256_r10000,256,10000,256,915557669,873.143834,30720000,29.296875,327760000,ok
b256_r100000,256,100000,256,915557669,873.143834,307200000,292.968750,3277600000,ok
b256_r1000000,256,1000000,256,915557669,873.143834,3072000000,2929.687500,32776000000,host_replay_over_2gib
b512_r10,512,10,512,1759319625,1677.817941,30720,0.029297,327760,ok
b512_r100,512,100,512,1759319625,1677.817941,307200,0.292969,3277600,ok
b512_r1000,512,1000,512,1759319625,1677.817941,3072000,2.929688,32776000,ok
b512_r10000,512,10000,512,1759319625,1677.817941,30720000,29.296875,327760000,ok
b512_r100000,512,100000,512,1759319625,1677.817941,307200000,292.968750,3277600000,ok
b512_r1000000,512,1000000,512,1759319625,1677.817941,3072000000,2929.687500,32776000000,host_replay_over_2gib
b1024_r10,1024,10,1024,3446843538,3287.166155,30720,0.029297,327760,ok
b1024_r100,1024,100,1024,3446843538,3287.166155,307200,0.292969,3277600,ok
b1024_r1000,1024,1000,1024,3446843538,3287.166155,3072000,2.929688,32776000,ok
b1024_r10000,1024,10000,1024,3446843538,3287.166155,30720000,29.296875,327760000,ok
b1024_r100000,1024,100000,1024,3446843538,3287.166155,307200000,292.968750,3277600000,ok
b1024_r1000000,1024,1000000,1024,3446843538,3287.166155,3072000000,2929.687500,32776000000,host_replay_over_2gib
