run_id,phase,dataset,method_id,status,protocol_id,seed,experiences,P_diag,S_initial,online_total_s,timing_schema,usage
20260913T110945Z_development_orion_formula_splitcifar10_0619e590,development,splitcifar10,orion_formula,completed,per_experience,,10,0.9612999999999999,0.05811111111111111,31.08267184799479,,unclassified
20260913T111118Z_development_max_p_reconstructed_splitcifar10_eedbeab8,development,splitcifar10,max_p_reconstructed,completed,per_experience,,10,0.46259999999999996,0.5973333333333333,11.45592128700082,,unclassified
20260913T111135Z_development_lr_reconstructed_splitcifar10_c7adfcf5,development,splitcifar10,lr_reconstructed,completed,per_experience,,10,0.9611999999999998,0.06855555555555548,24.512578226000187,,unclassified
20260913T111205Z_development_er_static_splitcifar100_dc9a07ae,development,splitcifar100,er_static,completed,per_experience,,10,0.40590000000000004,0.619,24.890637750999304,,unclassified
20260913T112140Z_development_orion_formula_splitcifar10_98944974,development,splitcifar10,orion_formula,completed,per_experience,,10,0.45730000000000004,0.603,134.80314522600383,,unclassified
20260913T112524Z_development_er_static_core50_nc_76ccc577,development,core50_nc,er_static,completed,shared_sliced_by_train_classes,,9,0.6797759114434254,0.42159377830285516,108.09220381000341,,unclassified
20260913T112751Z_development_er_static_core50_ni_86ca0a3d,development,core50_ni,er_static,completed,shared_test_temporal,,8,0.23543733092876465,1.110318175962901,101.69388287900074,,unclassified
20260913T113802Z_development_max_a_reconstructed_splitcifar10_53c9175a,development,splitcifar10,max_a_reconstructed,completed,per_experience,,10,0.2041,0.8843333333333333,2431.3638941290046,,unclassified
20260913T121938Z_development_er_static_splitcifar10_9caa0f1c,development,splitcifar10,er_static,completed,per_experience,,10,0.9746,0.06622222222222218,24.01819229099783,,unclassified
20260913T122007Z_development_er_static_splitcifar10_6c54b086,development,splitcifar10,er_static,completed,per_experience,,10,0.9614999999999998,0.05655555555555558,42.52336008800194,,unclassified
20260913T122133Z_development_orion_formula_splitcifar10_54388491,development,splitcifar10,orion_formula,completed,per_experience,,10,0.9845,0.024333333333333318,22.229460406000726,,unclassified
